================================================================================
CƏDVƏL 4 / ТАБЛИЦА 4 / TABLE 4
Universal vaqonlarda tranzit daşınan yüklərin tarif qiymətləri
(İsveçrə frankı ilə 1 tonun qiyməti / Тарифные ставки в CHF за 1 тонну)
================================================================================
Məsafə | 10 t | 15 t | 20 t | 25 t | 30 t | 35 t | 40 t | 45 t | 50 t | 55 t | 60 t
691-700 | 83.86 | 69.89 | 55.92 | 53.14 | 49.42 | 44.11 | 39.85 | 36.14 | 33.48 | 31.36 | 29.22
701-710 | 84.80 | 70.69 | 56.52 | 53.68 | 49.92 | 44.55 | 40.26 | 36.50 | 33.82 | 31.67 | 29.52
711-720 | 85.65 | 71.35 | 57.11 | 54.21 | 50.42 | 44.99 | 40.66 | 36.86 | 34.16 | 31.99 | 29.82
721-730 | 86.46 | 72.08 | 57.65 | 54.75 | 50.91 | 45.44 | 41.06 | 37.22 | 34.49 | 32.30 | 30.11
731-740 | 87.32 | 72.75 | 58.25 | 55.28 | 51.41 | 45.88 | 41.45 | 37.58 | 34.82 | 32.62 | 30.40
741-750 | 88.18 | 73.49 | 58.78 | 55.81 | 51.90 | 46.32 | 41.86 | 37.95 | 35.16 | 32.93 | 30.70
751-760 | 88.98 | 74.15 | 59.38 | 56.34 | 52.40 | 46.76 | 42.26 | 38.31 | 35.50 | 33.24 | 30.99
761-770 | 89.85 | 74.88 | 59.91 | 56.87 | 52.89 | 47.21 | 42.65 | 38.67 | 35.83 | 33.55 | 31.28
771-780 | 90.72 | 75.62 | 60.44 | 57.40 | 53.39 | 47.65 | 43.06 | 39.03 | 36.16 | 33.87 | 31.57
781-790 | 91.51 | 76.28 | 61.05 | 57.94 | 53.88 | 48.09 | 43.45 | 39.40 | 36.50 | 34.18 | 31.87
791-800 | 92.39 | 77.01 | 61.58 | 58.54 | 54.44 | 48.59 | 43.90 | 39.81 | 36.88 | 34.54 | 32.19
801-810 | 93.18 | 77.68 | 62.18 | 59.00 | 54.87 | 48.97 | 44.25 | 40.12 | 37.17 | 34.81 | 32.45
811-820 | 93.98 | 78.35 | 62.64 | 59.54 | 55.37 | 49.42 | 44.65 | 40.48 | 37.51 | 35.13 | 32.74
821-830 | 94.78 | 79.01 | 63.17 | 60.00 | 55.80 | 49.80 | 45.00 | 40.80 | 37.80 | 35.40 | 33.00
831-840 | 95.58 | 79.68 | 63.71 | 60.53 | 56.30 | 50.25 | 45.40 | 41.17 | 38.13 | 35.71 | 33.29
841-850 | 96.38 | 80.34 | 64.24 | 61.00 | 56.73 | 50.63 | 45.75 | 41.48 | 38.43 | 35.99 | 33.55
851-860 | 97.17 | 81.01 | 64.77 | 61.53 | 57.22 | 51.08 | 46.15 | 41.84 | 38.76 | 36.31 | 33.84
861-870 | 97.97 | 81.60 | 65.30 | 62.00 | 57.66 | 51.46 | 46.50 | 42.17 | 39.06 | 36.59 | 34.10
871-880 | 98.78 | 82.28 | 65.84 | 62.53 | 58.16 | 51.90 | 46.90 | 42.53 | 39.39 | 36.89 | 34.40
881-890 | 99.58 | 82.94 | 66.37 | 63.06 | 58.65 | 52.34 | 47.30 | 42.89 | 39.74 | 37.21 | 34.69
891-900 | 100.31 | 83.60 | 66.91 | 63.53 | 59.09 | 52.73 | 47.65 | 43.20 | 40.02 | 37.49 | 34.95
901-910 | 101.11 | 84.27 | 67.44 | 64.00 | 59.52 | 53.12 | 48.00 | 43.52 | 40.32 | 37.76 | 35.20
911-920 | 101.84 | 84.87 | 67.91 | 64.46 | 59.95 | 53.51 | 48.35 | 43.83 | 40.61 | 38.03 | 35.45
921-930 | 102.57 | 85.47 | 68.37 | 64.93 | 60.38 | 53.89 | 48.70 | 44.15 | 40.91 | 38.30 | 35.71
931-940 | 103.30 | 86.14 | 68.90 | 65.39 | 60.81 | 54.28 | 49.04 | 44.47 | 41.19 | 38.58 | 35.96
941-950 | 104.03 | 86.73 | 69.37 | 65.93 | 61.31 | 54.72 | 49.45 | 44.83 | 41.54 | 38.90 | 36.26
951-960 | 104.77 | 87.34 | 69.90 | 66.39 | 61.75 | 55.11 | 49.80 | 45.15 | 41.83 | 39.18 | 36.52
961-970 | 105.56 | 87.94 | 70.36 | 66.86 | 62.18 | 55.49 | 50.15 | 45.47 | 42.12 | 39.45 | 36.77
971-980 | 106.30 | 88.60 | 70.83 | 67.33 | 62.61 | 55.88 | 50.50 | 45.78 | 42.42 | 39.73 | 37.03
981-990 | 107.03 | 89.20 | 71.36 | 67.79 | 63.05 | 56.27 | 50.84 | 46.10 | 42.71 | 40.00 | 37.29
991-1000 | 107.77 | 89.79 | 71.83 | 68.26 | 63.48 | 56.66 | 51.19 | 46.41 | 43.00 | 40.28 | 37.54
