from_code,from_name,to_code,to_name,distance_km
556000,Dəlməmmədli,558701,Böyük Kəsik (eksport),159.0
556000,Dəlməmmədli,550108,Culfa (eksport),593.0
556000,Dəlməmmədli,553002,Ələt eksport-Kurik,270.0
556000,Dəlməmmədli,548803,Ələt eksport-Türk.,270.0
556000,Dəlməmmədli,549204,Ələt eksport-Aktau,270.0
547904,Dübəndi,547508,Yalama (eksport),242.0
547904,Dübəndi,554503,Astara (eksport),362.0
547904,Dübəndi,558701,Böyük Kəsik (eksport),538.0
547904,Dübəndi,550108,Culfa (eksport),528.0
547904,Dübəndi,553002,Ələt eksport-Kurik,129.0
547904,Dübəndi,548803,Ələt eksport-Türk.,129.0
547904,Dübəndi,549204,Ələt eksport-Aktau,129.0
548502,Ələt,547508,Yalama (eksport),261.0
548502,Ələt,554503,Astara (eksport),243.0
548502,Ələt,558701,Böyük Kəsik (eksport),419.0
548502,Ələt,550108,Culfa (eksport),409.0
548502,Ələt,553002,Ələt eksport-Kurik,10.0
548502,Ələt,548803,Ələt eksport-Türk.,10.0
548502,Ələt,549204,Ələt eksport-Aktau,10.0
549204,Ələt eksport-Aktau,547508,Yalama (eksport),271.0
549204,Ələt eksport-Aktau,554503,Astara (eksport),253.0
549204,Ələt eksport-Aktau,558701,Böyük Kəsik (eksport),429.0
549204,Ələt eksport-Aktau,550108,Culfa (eksport),419.0
549204,Ələt eksport-Aktau,553002,Ələt eksport-Kurik,0.0
549204,Ələt eksport-Aktau,548803,Ələt eksport-Türk.,0.0
549204,Ələt eksport-Aktau,549204,Ələt eksport-Aktau,0.0
553002,Ələt eksport-Kurik,547508,Yalama (eksport),271.0
553002,Ələt eksport-Kurik,554503,Astara (eksport),253.0
553002,Ələt eksport-Kurik,558701,Böyük Kəsik (eksport),429.0
553002,Ələt eksport-Kurik,550108,Culfa (eksport),419.0
553002,Ələt eksport-Kurik,553002,Ələt eksport-Kurik,0.0
553002,Ələt eksport-Kurik,548803,Ələt eksport-Türk.,0.0
553002,Ələt eksport-Kurik,549204,Ələt eksport-Aktau,0.0
548803,Ələt eksport-Türk.,547508,Yalama (eksport),271.0
548803,Ələt eksport-Türk.,554503,Astara (eksport),253.0
548803,Ələt eksport-Türk.,558701,Böyük Kəsik (eksport),429.0
548803,Ələt eksport-Türk.,550108,Culfa (eksport),419.0
548803,Ələt eksport-Türk.,553002,Ələt eksport-Kurik,0.0
