================================================================================
CƏDVƏL 7 / ТАБЛИЦА 7 / TABLE 7
Yüklərin vaqonlarda və ortatonnaqlı konteynerlərdə daşınması üçün BTT-nin baza qiymətləri
(İsveçrə frankı ilə / Тарифные ставки в CHF)
================================================================================
Колонки:
1: Məsafə, km
2: Vaqon: 5 ton (1 tonun qiyməti)
3: Vaqon: 10 ton (1 tonun qiyməti)
4: Vaqon: 15 ton (1 tonun qiyməti)
5: Vaqon: 20 ton (1 tonun qiyməti)
6: Vaqon: 25 ton / Sərnişin vaqonları / Poçt YHN 99910000 (1 tonun qiyməti)
7: Konteyner Yüklü: 3 ton (1 konteynerin qiyməti)
8: Konteyner Yüklü: 5 ton (1 konteynerin qiyməti)
9: Konteyner Boş: 3 ton (1 konteynerin qiyməti)
10: Konteyner Boş: 5 ton (1 konteynerin qiyməti)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8 | Col 9 | Col 10
551-560 | 116.96 | 97.48 | 81.27 | 64.95 | 61.80 | 211 | 422 | 106 | 211
561-570 | 118.81 | 99.01 | 82.58 | 66.04 | 62.67 | 215 | 431 | 108 | 215
571-580 | 120.66 | 100.53 | 83.78 | 67.02 | 63.65 | 219 | 437 | 110 | 219
581-590 | 122.51 | 102.05 | 85.08 | 68.11 | 64.63 | 223 | 446 | 111 | 223
591-600 | 124.36 | 103.58 | 86.39 | 69.09 | 65.61 | 226 | 453 | 113 | 226
601-610 | 126.21 | 105.21 | 87.69 | 70.07 | 66.59 | 231 | 461 | 115 | 231
611-620 | 128.17 | 106.73 | 89.00 | 71.16 | 67.67 | 234 | 468 | 118 | 234
621-630 | 130.02 | 108.36 | 90.30 | 72.24 | 68.65 | 238 | 477 | 119 | 238
631-640 | 131.97 | 110.00 | 91.61 | 73.33 | 69.63 | 242 | 483 | 121 | 242
641-650 | 133.82 | 111.52 | 92.92 | 74.31 | 70.61 | 246 | 492 | 123 | 246
651-660 | 135.78 | 113.15 | 94.33 | 75.40 | 71.70 | 249 | 498 | 125 | 249
661-670 | 137.63 | 114.68 | 95.64 | 76.49 | 72.68 | 254 | 507 | 126 | 254
671-680 | 139.59 | 116.31 | 96.94 | 77.57 | 73.66 | 257 | 514 | 128 | 257
681-690 | 141.44 | 117.94 | 98.25 | 78.55 | 74.64 | 261 | 522 | 131 | 261
691-700 | 143.40 | 119.46 | 99.55 | 79.64 | 75.72 | 264 | 529 | 133 | 264
701-710 | 145.14 | 120.99 | 100.86 | 80.62 | 76.60 | 269 | 537 | 134 | 269
711-720 | 146.88 | 122.40 | 101.95 | 81.60 | 77.47 | 272 | 544 | 136 | 272
721-730 | 148.51 | 123.71 | 103.14 | 82.47 | 78.34 | 276 | 553 | 138 | 276
731-740 | 150.14 | 125.12 | 104.23 | 83.45 | 79.21 | 280 | 559 | 140 | 280
741-750 | 151.78 | 126.53 | 105.43 | 84.32 | 80.08 | 284 | 568 | 141 | 284
751-760 | 153.41 | 127.84 | 106.52 | 85.30 | 80.95 | 287 | 574 | 144 | 287
761-770 | 155.15 | 129.25 | 107.71 | 86.17 | 81.82 | 292 | 583 | 146 | 292
771-780 | 156.78 | 130.67 | 108.91 | 87.04 | 82.69 | 295 | 590 | 148 | 295
781-790 | 158.41 | 131.97 | 110.00 | 88.02 | 83.56 | 299 | 598 | 149 | 299
791-800 | 160.04 | 133.39 | 111.19 | 88.89 | 84.54 | 302 | 605 | 151 | 302
801-810 | 161.68 | 134.69 | 112.28 | 89.87 | 85.30 | 307 | 614 | 153 | 307
811-820 | 163.20 | 136.00 | 113.37 | 90.63 | 86.17 | 310 | 620 | 156 | 310
821-830 | 164.83 | 137.31 | 114.46 | 91.50 | 86.93 | 314 | 629 | 157 | 314
831-840 | 166.36 | 138.61 | 115.55 | 92.37 | 87.80 | 318 | 635 | 159 | 318
841-850 | 167.88 | 139.92 | 116.63 | 93.24 | 88.56 | 322 | 644 | 161 | 322
851-860 | 169.40 | 141.22 | 117.72 | 94.11 | 89.43 | 325 | 651 | 163 | 325
861-870 | 171.03 | 142.53 | 118.70 | 94.98 | 90.20 | 330 | 659 | 164 | 330
871-880 | 172.56 | 143.83 | 119.79 | 95.85 | 91.07 | 333 | 666 | 166 | 333
881-890 | 174.08 | 145.14 | 120.88 | 96.72 | 91.94 | 337 | 675 | 169 | 337
891-900 | 175.60 | 146.34 | 121.96 | 97.59 | 92.70 | 341 | 681 | 171 | 341
901-910 | 177.13 | 147.64 | 123.05 | 98.46 | 93.46 | 345 | 690 | 172 | 345
911-920 | 178.65 | 148.84 | 124.03 | 99.23 | 94.22 | 348 | 696 | 174 | 348
921-930 | 180.06 | 150.04 | 125.01 | 99.99 | 94.98 | 353 | 705 | 176 | 353
931-940 | 181.48 | 151.23 | 126.10 | 100.86 | 95.74 | 356 | 712 | 178 | 356
941-950 | 183.00 | 152.43 | 127.08 | 101.62 | 96.61 | 360 | 720 | 180 | 360
951-960 | 184.42 | 153.63 | 128.06 | 102.49 | 97.38 | 363 | 727 | 182 | 363
961-970 | 185.83 | 154.93 | 129.04 | 103.25 | 98.14 | 368 | 735 | 184 | 368
971-980 | 187.35 | 156.13 | 130.12 | 104.01 | 98.90 | 371 | 742 | 186 | 371
981-990 | 188.77 | 157.32 | 131.10 | 104.88 | 99.66 | 375 | 751 | 187 | 375
991-1000 | 190.18 | 158.52 | 132.08 | 105.64 | 100.42 | 379 | 757 | 189 | 379
