================================================================================
CƏDVƏL 5 / ТАБЛИЦА 5 / TABLE 5
İzotermik vaqonlarda, avtomobil daşıyan xüsusi təyinatlı örtülü vaqonlarda 
daşınan yüklərin və İNV, ANV daşımalarının tarif qiymətləri
(İsveçrə frankı ilə / Тарифные ставки в CHF)
================================================================================
Колонки:
1: Məsafə, km
2: Refrijeratorlar, ARV (25 tondan aşağı 1 vaqon)
3: Refrijeratorlar, ARV (25 ton və yuxarı 1 ton)
4: Vaqon-termoslar, vaqon-ledniklər (25 tondan aşağı 1 vaqon)
5: Vaqon-termoslar, vaqon-ledniklər (25 ton və yuxarı 1 ton)
6: Xüsusi təyinatlı örtülü vaqonlarda daşınan avtomobillər (10 ton və yuxarı 1 ton)
7: İNV, ANV daşımaları (yüklü)
8: İNV, ANV daşımaları (boş)
================================================================================
Məsafə | Col 2 | Col 3 | Col 4 | Col 5 | Col 6 | Col 7 | Col 8
721-730 | 2061.75 | 78.34 | 1237.05 | 47.00 | 123.71 | 1237.10 | 865.97
731-740 | 2086.25 | 79.21 | 1251.75 | 47.53 | 125.12 | 1251.20 | 875.84
741-750 | 2108.00 | 80.08 | 1264.80 | 48.05 | 126.53 | 1265.30 | 885.71
751-760 | 2132.50 | 80.95 | 1279.50 | 48.57 | 127.84 | 1278.40 | 894.88
761-770 | 2154.25 | 81.82 | 1292.55 | 49.09 | 129.25 | 1292.50 | 904.75
771-780 | 2176.00 | 82.69 | 1305.60 | 49.61 | 130.67 | 1306.70 | 914.69
781-790 | 2200.50 | 83.56 | 1320.30 | 50.14 | 131.97 | 1319.70 | 923.79
791-800 | 2222.25 | 84.54 | 1333.35 | 50.72 | 133.39 | 1333.90 | 933.73
801-810 | 2246.75 | 85.30 | 1348.05 | 51.18 | 134.69 | 1346.90 | 942.83
811-820 | 2265.75 | 86.17 | 1359.45 | 51.70 | 136.00 | 1360.00 | 952.00
821-830 | 2287.50 | 86.93 | 1372.50 | 52.16 | 137.31 | 1373.10 | 961.17
831-840 | 2309.25 | 87.80 | 1385.55 | 52.68 | 138.61 | 1386.10 | 970.27
841-850 | 2331.00 | 88.56 | 1398.60 | 53.14 | 139.92 | 1399.20 | 979.44
851-860 | 2352.75 | 89.43 | 1411.65 | 53.66 | 141.22 | 1412.20 | 988.54
861-870 | 2374.50 | 90.20 | 1424.70 | 54.12 | 142.53 | 1425.30 | 997.71
871-880 | 2396.25 | 91.07 | 1437.75 | 54.64 | 143.83 | 1438.30 | 1006.81
881-890 | 2418.00 | 91.94 | 1450.80 | 55.16 | 145.14 | 1451.40 | 1015.98
891-900 | 2439.75 | 92.70 | 1463.85 | 55.62 | 146.34 | 1463.40 | 1024.38
901-910 | 2461.50 | 93.46 | 1476.90 | 56.08 | 147.64 | 1476.40 | 1033.48
911-920 | 2480.75 | 94.22 | 1488.45 | 56.53 | 148.84 | 1488.40 | 1041.88
921-930 | 2499.75 | 94.98 | 1499.85 | 56.99 | 150.04 | 1500.40 | 1050.28
931-940 | 2521.50 | 95.74 | 1512.90 | 57.44 | 151.23 | 1512.30 | 1058.61
941-950 | 2540.50 | 96.61 | 1524.30 | 57.97 | 152.43 | 1524.30 | 1067.01
951-960 | 2562.25 | 97.38 | 1537.35 | 58.43 | 153.63 | 1536.30 | 1075.41
961-970 | 2581.25 | 98.14 | 1548.75 | 58.88 | 154.93 | 1549.30 | 1084.51
971-980 | 2600.25 | 98.90 | 1560.15 | 59.34 | 156.13 | 1561.30 | 1092.91
981-990 | 2622.00 | 99.66 | 1573.20 | 59.80 | 157.32 | 1573.20 | 1101.24
991-1000 | 2641.00 | 100.42 | 1584.60 | 60.25 | 158.52 | 1585.20 | 1109.64
