Раздел,Глава,Наименование,GNG_text
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, свежие или охлажденные,
ощипанные и полупотрошеные, с головой и плюснами ног, представленные как ""83%-ые цыплята""",02071110
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, свежие или охлажденные, ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ые цыплята""",02071130
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, свежие или охлажденные,
ощипанные и потрошеные, без головы и плюсен ног и без шейки, сердца, печени, и мускульного желудка, представленные как ""65%-ые цыплята"", или представленные в другой р",02071190
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, замороженные",02071200
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, мороженые, ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком,
представленные как ""70%-ные цыплята""",02071210
02,0207,"Мясо и пищевые субпродукты кур домашних не разделенные на части, мороженые, ощипанные и потрошеные,  без  головы  и  плюсен  ног  и  без  шейки,  сердца,  печени  и  мускульного  желудка, представленные как ""65%-ные цыплята"", или представленные в другой р",02071290
02,0207,"Части тушек и субпродукты кур домашних, свежие или охлажденные",02071300
02,0207,"Части тушек кур домашних, свежие или охлажденные, обваленные",02071310
02,0207,"Половины или четвертины тушек кур домашних, свежие или охлажденные, необваленные",02071320
02,0207,"Крылья   цельные   с   тонким   концом   или   без   него   кур   домашних,   свежие   или   охлажденные,
необваленные",02071330
02,0207,"Спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев кур домашних, свежие или охлажденные, необваленные",02071340
02,0207,"Грудки и куски из них кур домашних, свежие или охлажденные, необваленные",02071350
02,0207,"Ножки и куски из них кур домашних, свежие или охлажденные, необваленные",02071360
02,0207,"Части тушек прочие кур домашних, свежие или охлажденные, необваленные",02071370
02,0207,"Печень куриная, свежая или охлажденная",02071391
02,0207,"Субпродукты кур домашних прочие, свежие или охлажденные",02071399
02,0207,"Части тушек и субпродукты кур домашних, замороженные",02071400
02,0207,"Части тушек кур домашних, замороженные, обваленные",02071410
02,0207,"Половины или четвертины кур домашних, замороженные, необваленные",02071420
02,0207,"Крылья цельные, с тонким концом или без него кур домашних, замороженные, необваленные",02071430
02,0207,"Спинки   вместе   с   шейкой,   гузки   и   тонкие   концы   крыльев   кур   домашних,   замороженные,
необваленные",02071440
02,0207,"Мясо кур домашних-грудки и куски из них кур домашних, замороженные, необваленные",02071450
02,0207,"Мясо кур домашних-ножки и куски из них кур домашних, замороженные, необваленные",02071460
02,0207,"Мясо кур домашних-части прочие тушек кур домашних, замороженные, необваленные",02071470
02,0207,"Печень куриная, замороженная",02071491
02,0207,"Субпродукты кур домашних, замороженные, прочие",02071499
02,0207,"Мясо и пищевые субпродукты индеек не разделенные на части, свежие или охлажденные",02072400
02,0207,"Мясо   и   пищевые   субпродукты   индеек   не   разделенные   на   части,   свежие   или   охлажденные, ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""80%-ные индейки""",02072410
02,0207,"Мясо   и   пищевые   субпродукты   индеек   не   разделенные   на   части,   свежие   или   охлажденные,
ощипанные  и  потрошеные,  без  головы  и  плюсен  ног,  без  шейки,  сердца,  печени  и  мускульного желудка, представленые как ""73%-ные индейки"", ил",02072490
02,0207,"Мясо и пищевые субпродукты индеек не разделенные на части, мороженые",02072500
02,0207,"Мясо   и   пищевые   субпродукты   индеек   не   разделенные   на   части,   мороженые,   ощипанные   и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком,
представленные как ""80%-ные индейки""",02072510
02,0207,"Мясо   и   пищевые   субпродукты   индеек   не   разделенные   на   части,   мороженые,   ощипанные   и
потрошеные,  без  головы  и  плюсен  ног,  без  шейки,  сердца,  печени  и  мускульного  желудка, представленые как ""73%-ные индейки"", или представленн",02072590
02,0207,Части тушек и пищевые субпродукты индеек свежие или охлажденные,02072600
02,0207,"Части тушек индеек, свежие или охлажденные, обваленные",02072610
02,0207,"Половины или четвертины индеек, свежие или охлажденные, необваленные",02072620
02,0207,"Крылья цельные индеек, с тонким концом или без него, свежие или охлажденные, необваленные",02072630
